saving results in /home/fabian/simulation_results/transfer/lg=20_Vd=0.2_started:2015-07-23-15-16-19
(231/1000), V={0, 0.2, -0.161261}: 10 iterations, reldev=0.215299, n_E = 7708
(232/1000), V={0, 0.2, -0.160661}: 10 iterations, reldev=0.215031, n_E = 7740
(233/1000), V={0, 0.2, -0.16006}: 10 iterations, reldev=0.214746, n_E = 7748
(234/1000), V={0, 0.2, -0.159459}: 10 iterations, reldev=0.214425, n_E = 7780
(235/1000), V={0, 0.2, -0.158859}: 10 iterations, reldev=0.213824, n_E = 7772
(236/1000), V={0, 0.2, -0.158258}: 10 iterations, reldev=0.213861, n_E = 7780
(237/1000), V={0, 0.2, -0.157658}: 10 iterations, reldev=0.213594, n_E = 7776
(238/1000), V={0, 0.2, -0.157057}: 10 iterations, reldev=0.213318, n_E = 7788
(239/1000), V={0, 0.2, -0.156456}: 10 iterations, reldev=0.212835, n_E = 7724
(240/1000), V={0, 0.2, -0.155856}: 10 iterations, reldev=0.212971, n_E = 7756
(241/1000), V={0, 0.2, -0.155255}: 10 iterations, reldev=0.212687, n_E = 7764
(242/1000), V={0, 0.2, -0.154655}: 10 iterations, reldev=0.212492, n_E = 7764
(243/1000), V={0, 0.2, -0.154054}: 10 iterations, reldev=0.21219, n_E = 7752
(244/1000), V={0, 0.2, -0.153453}: 10 iterations, reldev=0.211906, n_E = 7660
(245/1000), V={0, 0.2, -0.152853}: 10 iterations, reldev=0.211648, n_E = 7740
(246/1000), V={0, 0.2, -0.152252}: 10 iterations, reldev=0.211344, n_E = 7748
(247/1000), V={0, 0.2, -0.151652}: 10 iterations, reldev=0.21109, n_E = 7688
(248/1000), V={0, 0.2, -0.151051}: 10 iterations, reldev=0.210804, n_E = 7736
(249/1000), V={0, 0.2, -0.15045}: 10 iterations, reldev=0.210523, n_E = 7732
(250/1000), V={0, 0.2, -0.14985}: 10 iterations, reldev=0.210211, n_E = 7724
(251/1000), V={0, 0.2, -0.149249}: 10 iterations, reldev=0.209815, n_E = 7728
(252/1000), V={0, 0.2, -0.148649}: 10 iterations, reldev=0.20967, n_E = 7728
(253/1000), V={0, 0.2, -0.148048}: 10 iterations, reldev=0.209427, n_E = 7660
(254/1000), V={0, 0.2, -0.147447}: 10 iterations, reldev=0.209163, n_E = 7692
(255/1000), V={0, 0.2, -0.146847}: 10 iterations, reldev=0.208897, n_E = 7756
(256/1000), V={0, 0.2, -0.146246}: 10 iterations, reldev=0.20865, n_E = 7704
(257/1000), V={0, 0.2, -0.145646}: 10 iterations, reldev=0.208402, n_E = 7720
